"""amended_from"" field must be present to do an amendment.","""amended_from"" field must be present to do an amendment."
"""Company History""","""الشركة السجل"""
"""Parent"" signifies the parent table in which this row must be added","""Parent"" signifies the parent table in which this row must be added"
"""Team Members"" or ""Management""","""فريق أعضاء"" أو ""إدارة"""
"""{0}"" is not a valid Google Sheets URL","""{0}"" is not a valid Google Sheets URL"
&lt;head&gt; HTML,&lt;head&gt; HTML
'In Global Search' not allowed for type {0} in row {1},'In Global Search' not allowed for type {0} in row {1}
'In List View' not allowed for type {0} in row {1},'In List View' not allowed for type {0} in row {1}
'Recipients' not specified,'Recipients' not specified
'{0}' not allowed for type {1} in row {2},'{0}' not allowed for type {1} in row {2}
(Ctrl + G),(Ctrl + G)
(Mandatory),(Mandatory)
** Failed: {0} to {1}: {2},** فشل: {0} إلى {1}: {2}
**Currency** Master,* * العملة * * رئيسي
0 - Draft; 1 - Submitted; 2 - Cancelled,0 مسودة; 1 مُرسل; 2 ملغى
0 is highest,0 is highest
1 comment,1 تعليق
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,1 Currency = [?] Fraction\n For e.g. 1 USD = 100 Cent
1 Google Calendar Event synced.,1 Google Calendar Event synced.
1 hour ago,1 hour ago
1 minute ago,1 minute ago
1 month ago,1 month ago
1 record will be exported,1 سجل سوف يكون مُصدَّر
1 Report,تقرير 1
1 week ago,1 week ago
1 year ago,1 year ago
5 Records,5 سجلات
; not allowed in condition,; not allowed in condition
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>"
"<p>Set context before rendering a template. Example:</p><p>\n</p><div><pre><code>\ncontext.project = frappe.get_doc(""Project"", frappe.form_dict.name)\n</code></pre></div>","<p>Set context before rendering a template. Example:</p><p>\n</p><div><pre><code>\ncontext.project = frappe.get_doc(""Project"", frappe.form_dict.name)\n</code></pre></div>"
_doctype,نوع المستند
_report,تقرير
A featured post must have a cover image,A featured post must have a cover image
A field with the name '{}' already exists in doctype {}.,A field with the name '{}' already exists in doctype {}.
A Lead with this Email Address should exist,A Lead with this Email Address should exist
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,A list of resources which the Client App will have access to after the user allows it.<br> e.g. project
A log of request errors,A سجل من طلب أخطاء
A new account has been created for you at {0},A جديد حساب لديه كان أُنشئ لـ أنت في {0}
A recurring {0} {1} has been created for you via Auto Repeat {2}.,A recurring {0} {1} has been created for you via Auto Repeat {2}.
